Recency,Frequency,Monetary,Segment_Label,R_Next_3Months,Churn
26,13,4042.813651171713,2,1,2
13,1,268.465330763131,3,1,2
25,6,1506.9565838341045,3,1,2
50,5,1457.245136475958,3,1,2
91,1,373.600341913213,0,1,1
9,1,61.6173425540588,3,0,0
0,9,2559.710794409193,2,1,2
15,6,1580.607048403534,3,1,2
127,2,421.10780954060647,0,0,3
38,6,1648.214885251302,3,1,2
0,9,2139.8975580597107,3,1,2
7,9,2767.839783231784,2,1,2
30,7,2300.997818070653,3,1,2
10,7,1426.5533090542194,3,1,2
25,13,3860.572784827236,2,1,2
7,17,5470.072946806702,4,1,2
26,4,1545.0632645095711,3,1,2
8,12,3236.7047122474105,2,1,2
18,3,1047.091108455026,3,1,2
6,15,3712.873139767622,2,1,2
30,14,3921.8766145901022,2,1,2
126,1,317.844358307172,0,1,1
9,8,2385.960300387787,3,1,2
42,3,1066.201715839207,3,1,2
19,12,3072.8805995299995,2,1,2
15,17,4372.557733830279,1,1,2
41,4,1188.907116267966,3,1,2
0,8,2221.317742211462,3,1,2
16,11,2867.575823330936,2,1,2
76,6,1345.342607404436,3,1,2
17,7,1854.7171728184837,3,1,2
12,6,1806.305935569224,3,1,2
27,13,3714.166623607392,2,1,2
67,4,1285.442370500089,3,0,0
40,6,1887.404054935073,3,1,2
162,3,795.3936514129828,0,0,3
60,4,1000.0283296424032,3,0,0
25,18,4772.645518741638,4,1,2
19,11,3664.45127236069,2,1,2
40,8,2203.990932863206,3,1,2
81,8,2550.139797554029,3,1,2
4,14,3506.049311424644,2,1,2
11,9,1270.291788862917,3,1,2
52,13,3450.4786752167734,2,1,2
6,13,2755.2323315171884,2,1,2
4,15,4481.384183450522,2,1,2
51,1,354.312424120528,0,0,0
40,4,1081.230017350699,3,1,2
17,1,325.160723918619,3,1,2
51,8,2271.559141330316,3,1,2
12,13,3496.4168032708812,2,1,2
47,4,979.835357109985,0,1,2
71,8,2136.9113819806525,3,1,2
62,10,2701.631182799724,3,1,2
8,12,3328.9537965307036,2,1,2
57,5,657.892971111435,0,1,2
19,8,2507.738826953357,2,1,2
78,5,1622.1259306244133,3,1,2
1,14,3702.3623207009296,2,1,2
10,7,2234.808886462903,3,1,2
9,13,3342.4629184306737,2,1,2
62,13,3860.7138189265033,2,1,2
41,7,1268.0499079640276,3,1,2
13,8,2356.8267901086297,3,1,2
14,4,526.6274188630679,3,1,2
114,1,141.09256634738,0,1,1
147,1,474.886938076445,0,1,1
38,3,1398.640843253143,3,1,2
13,14,4203.830667070037,2,1,2
68,14,3361.4300051889213,2,1,2
10,12,3851.3129323241883,2,1,2
5,10,2863.653368117722,2,1,2
26,14,4224.279384254364,2,1,2
3,10,3061.567267970225,2,1,2
10,10,2412.2967324546003,3,1,2
22,11,3463.119435470518,2,1,2
38,13,4130.268549597185,2,1,2
108,8,2318.7502752979644,3,1,1
12,12,3475.3371738278897,2,1,2
6,11,3031.8555483322857,2,1,2
74,2,380.6308588555536,0,1,2
32,5,1303.4392225574722,3,1,2
43,2,542.348301922998,0,0,0
17,15,3837.067774872136,2,1,2
27,9,2039.0076549740108,3,1,2
4,6,2143.121949307304,3,1,2
32,8,2090.873990512767,3,1,2
154,1,255.133077972133,0,1,1
29,6,1818.9416843984939,3,1,2
20,9,2218.351506452362,3,1,2
30,9,2272.4610913284428,3,1,2
73,3,422.6346130390863,0,1,2
86,4,1494.881513604258,3,1,2
41,9,3158.060000229239,3,0,0
13,13,3374.4242947588373,2,1,2
1,7,1711.911013352711,3,1,2
66,4,1173.6567437391052,3,1,2
80,6,2133.881937915014,3,1,2
41,12,3300.6127993160067,2,1,2
22,5,1102.9838778141848,3,1,2
1,10,2319.1694424634775,3,1,2
27,14,3824.9766818904372,2,1,2
58,11,3425.5476832783306,2,1,2
22,11,2495.815632473502,3,1,2
5,9,2680.4485691101836,2,1,2
14,6,1544.940862469356,3,1,2
161,2,849.058422575016,0,1,1
30,10,2440.8868523169804,3,1,2
80,7,1911.730491923071,3,1,2
8,7,2095.630583912795,3,1,2
1,5,1304.5484918896361,3,1,2
49,2,705.153473412631,0,1,2
25,17,4949.472760175846,4,1,2
2,8,2409.8276815881986,3,1,2
18,13,4052.373431873198,2,1,2
3,11,2561.233263711466,2,1,2
57,14,3892.4218084478243,2,1,2
2,13,3219.1671394300392,2,1,2
11,4,981.982458993367,3,0,0
45,7,2128.584203091331,3,1,2
28,11,3127.61955384095,2,1,2
18,14,3439.529544245167,2,1,2
27,7,1731.3885468992241,3,1,2
53,10,2978.742994593398,3,1,2
2,6,1800.486616715683,3,1,2
2,12,3427.6661156087107,2,1,2
27,9,3060.1547265259637,2,1,2
11,8,2208.704971352708,3,1,2
13,12,4101.050108451991,2,1,2
4,2,598.719569145733,3,0,0
23,4,1228.31630469935,3,1,2
22,11,2591.555606601967,2,1,2
26,3,907.999432505235,3,1,2
5,8,2129.429463134266,3,1,2
178,1,66.2937741958822,0,0,3
1,5,1072.9113154317788,3,1,2
4,17,4058.0396316721317,1,1,2
14,16,3756.701962342394,1,1,2
29,13,3167.7057689804474,2,1,2
13,17,4195.038145399432,1,1,2
29,8,1711.428257883966,3,1,2
1,10,3444.7692254381254,2,1,2
3,3,710.1715900820006,3,1,2
33,9,3141.979772735776,3,1,2
62,4,976.4583686770286,0,1,2
15,16,4396.340951451574,1,1,2
19,9,1937.1360664368794,3,1,2
11,10,2367.262735933752,3,1,2
82,5,902.7459270244484,0,1,2
48,5,1250.4742768655317,3,1,2
7,2,720.579247467615,3,1,2
9,3,494.148398965716,3,1,2
1,9,2460.984310529991,3,1,2
74,6,1830.038464692058,3,0,0
23,4,673.8761197419051,3,1,2
14,15,4036.894256496878,2,1,2
26,16,3719.3834112461846,1,1,2
57,11,2820.782373571992,2,1,2
15,6,1530.6720561310049,3,1,2
50,7,1406.703861104359,3,1,2
29,5,1338.1978988941469,3,1,2
174,1,334.58975610228,0,1,1
10,9,1578.0623823629946,3,1,2
17,9,2069.171995863819,3,1,2
59,9,2287.308990075,3,1,2
22,7,1711.6110800877623,3,1,2
33,6,1369.87264070039,3,1,2
168,1,332.39022386866,0,0,3
11,11,2814.6327148402092,2,1,2
4,8,2233.478094142031,3,1,2
108,2,664.097144710312,0,0,3
81,7,1874.3501350365812,3,1,2
50,13,3634.5589031545674,2,1,2
9,13,3400.28581234606,2,1,2
59,12,2757.547357627766,2,1,2
9,15,4673.981204326558,1,1,2
59,11,3236.1027824635717,2,1,2
25,9,2801.867537540065,2,1,2
6,4,1490.808342542496,3,1,2
23,4,1532.865778548986,3,1,2
11,14,4683.122858154172,1,1,2
4,13,3564.058874267486,2,1,2
2,10,3412.903958694821,2,1,2
106,4,1013.587808117224,3,1,1
23,7,2170.073925884096,3,1,2
4,14,4415.420333939359,2,1,2
43,7,1447.052618189516,3,1,2
60,2,608.6364339898421,0,0,0
